HairLoss,Duration,Shedding,Dandruff,Type,ItchyScalp,HairGreying,Treatment,RegularUsage,Products
Yes,3 to 6 months, Rarely,Yes, Powdery, Frequently,Yes, Keratin treatment, No,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Argan oil"
Yes,More than 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Colour or henna, Yes,"Biotin gummies, T/Gel Therapeutic Shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Rarely,Yes, Flaky, Frequently,Yes, Keratin treatment, No,"Biotin gummies, Ketoconzole anti dandruff shampoo, Argan oil"
Yes,More than 6 months, Frequently,Yes, Powdery, Frequently,No,No,No,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo"
Yes,3 to 6 months, Rarely,Yes, Powdery, Frequently,No,No,No,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo"
Yes,3 to 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Colour or henna, Yes,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
No,No,No,Yes, Powdery, Frequently,Yes, Colour or henna, Yes,"Nizoral A-D Anti Dandruff Shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Occasionally,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Biotin gummies, Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Frequently,Yes, Flaky, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Keratin smooth deep mask"
No,No,No,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Tea tree oil & shampoo, "
Yes,More than 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
No,No,No,Yes, Flaky, Rarely or never,No,No,No,T/Gel Therapeutic Shampoo
Yes,3 to 6 months, Rarely,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Biotin gummies, Ketoconzole anti dandruff shampoo, Pure black sesame oil"
No,No,No,Yes, Flaky, Frequently,No,No,No,Ketoconzole anti dandruff shampoo
Yes,Less than 3 months, Frequently, No, No, No, No, No, No,Biotin gummies
Yes,More than 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Occasionally,Yes, Flaky, Rarely or never,Yes, Colour or henna, Yes,"Biotin gummies, T/Gel Therapeutic Shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Frequently,Yes, Powdery, Rarely or never,No,No,No,"Biotin gummies & hair growth serum, Tea tree oil & shampoo"
Yes,More than 6 months, Rarely,Yes, Flaky, Frequently,Yes, Keratin treatment, No,"Biotin gummies, Ketoconzole anti dandruff shampoo, Argan oil"
Yes,3 to 6 months, Occasionally,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
Yes,Less than 3 months, Rarely,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"Rosemarry oil & shampoo,  T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
No,No,No,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,Less than 3 months, Frequently,Yes, Powdery, Rarely or never,No,No,No,"Biotin gummies, Tea tree oil & shampoo"
No,No,No,Yes, Powdery, Frequently,No,No,No,Nizoral A-D Anti Dandruff Shampoo
No,No,No,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
No,No,No,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Ketoconzole anti dandruff shampoo, Pure black sesame oil"
Yes,3 to 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Frequently, No, No, No,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, Pro-V Colour Shampoo"
Yes,Less than 3 months, Occasionally, No, No, No, No, No, No,Rosemarry oil & shampoo
Yes,Less than 3 months, Occasionally,Yes, Flaky, Rarely or never,Yes, Colour or henna, Yes,"Rosemarry oil & shampoo, T/Gel Therapeutic Shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Frequently,Yes, Flaky, Rarely or never,Yes, Colour or henna, No,"Biotin gummies & hair growth serum, T/Gel Therapeutic Shampoo, Pure black sesame oil"
Yes,3 to 6 months, Rarely,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Biotin gummies, Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
Yes,Less than 3 months, Rarely,Yes, Flaky, Frequently,Yes, Keratin treatment, Yes,"Rosemarry oil & shampoo,  Ketoconzole anti dandruff shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Occasionally,Yes, Flaky, Frequently,Yes, Keratin treatment, No,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Argan oil"
Yes,Less than 3 months, Rarely, No, No, No, No, No, No,Rosemarry oil & shampoo
Yes,Less than 3 months, Frequently, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Frequently,Yes, Powdery, Frequently,Yes, Colour or henna, No,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo, Pure black sesame oil"
Yes,Less than 3 months, Frequently, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,More than 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,3 to 6 months, Occasionally,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, Tea tree oil & shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo, Keratin smooth deep mask"
Yes,Less than 3 months, Rarely,Yes, Flaky, Rarely or never,Yes, Colour or henna, Yes,"Rosemarry oil & shampoo, T/Gel Therapeutic Shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Rarely,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Biotin gummies, Ketoconzole anti dandruff shampoo, Pure black sesame oil"
No,No,No,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Ketoconzole anti dandruff shampoo, Pure black sesame oil"
Yes,More than 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,More than 6 months, Frequently,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Tea tree oil & shampoo, Keratin smooth deep mask"
No,No,No,No,No,No,Yes, Colour or henna, No,Pure black sesame oil
Yes,3 to 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Colour or henna, No,"Biotin gummies, T/Gel Therapeutic Shampoo, Pure black sesame oil"
Yes,Less than 3 months, Frequently,Yes, Powdery, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,More than 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Rarely,Yes, Powdery, Rarely or never,No,No,No,"Biotin gummies, Tea tree oil & shampoo"
Yes,3 to 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Frequently,Yes, Powdery, Rarely or never,Yes, Keratin treatment, No,"Biotin gummies & hair growth serum, Tea tree oil & shampoo, Argan oil"
Yes,More than 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
No,No,No,Yes, Powdery, Frequently,Yes, Keratin treatment, Yes,"Nizoral A-D Anti Dandruff Shampoo, Keratin smooth deep mask"
Yes,Less than 3 months, Rarely, No, No, No, No, No, No,Rosemarry oil & shampoo
Yes,More than 6 months, Occasionally,Yes, Flaky, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,Less than 3 months, Rarely,Yes, Flaky, Frequently,No,No,No,"Rosemarry oil & shampoo, Ketoconzole anti dandruff shampoo"
Yes,3 to 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Colour or henna, No,"Biotin gummies, T/Gel Therapeutic Shampoo, Pure black sesame oil"
No,No,No,Yes, Flaky, Frequently,Yes, Keratin treatment, Yes,"Ketoconzole anti dandruff shampoo, Keratin smooth deep mask"
No,No,No,Yes, Powdery, Rarely or never,No,No,No,Tea tree oil & shampoo
Yes,More than 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
Yes,Less than 3 months, Occasionally,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Rosemarry oil & shampoo,  Ketoconzole anti dandruff shampoo, Pure black sesame oil"
Yes,3 to 6 months, Rarely,Yes, Powdery, Rarely or never,Yes, Colour or henna, No,"Biotin gummies, Tea tree oil & shampoo, Pure black sesame oil"
No,No,No,Yes, Powdery, Frequently,Yes, Colour or henna, No,"Nizoral A-D Anti Dandruff Shampoo, Pure black sesame oil"
Yes,More than 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,Less than 3 months, Occasionally,Yes, Powdery, Frequently,Yes, Keratin treatment, Yes,"Rosemary oil & shampoo, Nizoral A-D Anti Dandruff Shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Occasionally, No, No, No,Yes, Keratin treatment, No,"Biotin gummies, Argan oil"
Yes,Less than 3 months, Occasionally, No, No, No, No, No, No,Rosemarry oil & shampoo
Yes,Less than 3 months, Frequently,Yes, Powdery, Rarely or never,Yes, Keratin treatment, No,"Biotin gummies, Tea tree oil & shampoo, Argan oil"
Yes,3 to 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Colour or henna, No,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Pure black sesame oil"
Yes,3 to 6 months, Frequently,Yes, Powdery, Frequently,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Colour or henna, Yes,"Biotin gummies, T/Gel Therapeutic Shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Keratin treatment, No,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Argan oil"
Yes,More than 6 months, Frequently,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Occasionally,Yes, Powdery, Rarely or never,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, Tea tree oil & shampoo, Pro-V Colour Shampoo"
Yes,Less than 3 months, Frequently, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,Less than 3 months, Occasionally,Yes, Powdery, Frequently,No,No,No,"Rosemarry oil & shampoo, Nizoral A-D Anti Dandruff Shampoo"
Yes,Less than 3 months, Rarely, No, No, No, No, No, No,Rosemarry oil & shampoo
Yes,3 to 6 months, Occasionally,Yes, Flaky, Frequently,No,No,No,"Biotin gummies, Ketoconzole anti dandruff shampoo"
Yes,3 to 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,More than 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Colour or henna, No,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo, Pure black sesame oil"
No,No,No,Yes, Powdery, Frequently,No,No,No,Nizoral A-D Anti Dandruff Shampoo
No,No,No,Yes, Flaky, Rarely or never,No,No,No,T/Gel Therapeutic Shampoo
Yes,3 to 6 months, Frequently,Yes, Flaky, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Frequently,Yes, Flaky, Rarely or never,Yes, Keratin treatment, No,"Biotin gummies & hair growth serum, T/Gel Therapeutic Shampoo, Argan oil"
Yes,More than 6 months, Occasionally,Yes, Powdery, Rarely or never,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, Tea tree oil & shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
Yes,Less than 3 months, Frequently,Yes, Flaky, Frequently,Yes, Keratin treatment, No,"Biotin gummies, Ketoconzole anti dandruff shampoo, Argan oil"
Yes,3 to 6 months, Rarely,Yes, Powdery, Frequently,Yes, Keratin treatment, No,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Argan oil"
No,No,No,No,No,No,Yes, Keratin treatment, No,Argan oil
Yes,More than 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
No,No,No,No,No,No,Yes, Colour or henna, Yes,Pro-V Colour Shampoo
Yes,More than 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,3 to 6 months, Occasionally,Yes, Powdery, Rarely or never,No,No,No,"Biotin gummies, Tea tree oil & shampoo"
No,No,No,Yes, Powdery, Rarely or never,No,No,No,Tea tree oil & shampoo
Yes,Less than 3 months, Frequently, No, No, No, No, No, No,Biotin gummies
Yes,More than 6 months, Rarely, No, No, No,Yes, Keratin treatment, No,"Biotin gummies, Argan oil"
Yes,3 to 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies
No,No,No,Yes, Flaky, Rarely or never,Yes, Keratin treatment, No,"T/Gel Therapeutic Shampoo, Argan oil"
Yes,3 to 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,Less than 3 months, Frequently,Yes, Powdery, Frequently,No,No,No,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo"
Yes,Less than 3 months, Occasionally,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"Rosemarry oil & shampoo,  T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Rarely,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, Tea tree oil & shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Frequently,Yes, Flaky, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Keratin smooth deep mask"
No,No,No,No,No,No,Yes, Colour or henna, Yes,Pro-V Colour Shampoo
Yes,3 to 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,Less than 3 months, Frequently,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Biotin gummies, Ketoconzole anti dandruff shampoo, Pure black sesame oil"
Yes,Less than 3 months, Occasionally,Yes, Flaky, Rarely or never,Yes, Colour or henna, No,"Rosemarry oil & shampoo,  T/Gel Therapeutic Shampoo, Pure black sesame oil"
Yes,Less than 3 months, Frequently,Yes, Powdery, Frequently,Yes, Colour or henna, Yes,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Frequently,Yes, Powdery, Frequently,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,More than 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Rarely,Yes, Powdery, Frequently,Yes, Colour or henna, Yes,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Frequently,Yes, Powdery, Frequently,Yes, Keratin treatment, No,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo, Argan oil"
Yes,More than 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,3 to 6 months, Occasionally,Yes, Flaky, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies, Ketoconzole anti dandruff shampoo, Keratin smooth deep mask"
No,No,No,Yes, Flaky, Rarely or never,No,No,No,T/Gel Therapeutic Shampoo
Yes,3 to 6 months, Occasionally,Yes, Flaky, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies, Ketoconzole anti dandruff shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
No,No,No,Yes, Flaky, Frequently,No,No,No,Ketoconzole anti dandruff shampoo
Yes,Less than 3 months, Frequently,Yes, Powdery, Rarely or never,Yes, Colour or henna, No,"Biotin gummies, Tea tree oil & shampoo, Pure black sesame oil"
Yes,More than 6 months, Frequently,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies
Yes,More than 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,More than 6 months, Occasionally,Yes, Flaky, Frequently,No,No,No,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo"
Yes,3 to 6 months, Frequently,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Pure black sesame oil"
Yes,Less than 3 months, Occasionally,Yes, Powdery, Rarely or never,No,No,No,"Rosemarry oil & shampoo, Tea tree oil & shampoo"
Yes,3 to 6 months, Frequently,Yes, Flaky, Rarely or never,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, T/Gel Therapeutic Shampoo, Pro-V Colour Shampoo"
No,No,No,Yes, Powdery, Frequently,Yes, Colour or henna, Yes,"Nizoral A-D Anti Dandruff Shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Frequently, No, No, No,Yes, Colour or henna, No,"Biotin gummies & hair growth serum, Pure black sesame oil"
Yes,3 to 6 months, Frequently,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
Yes,Less than 3 months, Frequently,Yes, Powdery, Rarely or never,No,No,No,"Biotin gummies, Tea tree oil & shampoo"
Yes,More than 6 months, Frequently,Yes, Flaky, Rarely or never,Yes, Keratin treatment, No,"Biotin gummies & hair growth serum, T/Gel Therapeutic Shampoo, Argan oil"
Yes,Less than 3 months, Rarely,Yes, Flaky, Frequently,Yes, Keratin treatment, No,"Rosemarry oil & shampoo,  Ketoconzole anti dandruff shampoo, Argan oil"
Yes,More than 6 months, Frequently,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Tea tree oil & shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Keratin treatment, No,"Biotin gummies, T/Gel Therapeutic Shampoo, Argan oil"
Yes,Less than 3 months, Frequently,Yes, Powdery, Frequently,Yes, Keratin treatment, Yes,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies
No,No,No,Yes, Powdery, Rarely or never,No,No,No,Tea tree oil & shampoo
No,No,No,Yes, Powdery, Rarely or never,Yes, Keratin treatment, No,"Tea tree oil & shampoo, "
No,No,No,Yes, Powdery, Frequently,No,No,No,Nizoral A-D Anti Dandruff Shampoo
Yes,3 to 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Colour or henna, No,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Pure black sesame oil"
Yes,Less than 3 months, Rarely,Yes, Powdery, Rarely or never,Yes, Keratin treatment, No,"Rosemary oil & shampoo, Tea tree oil shampoo, Argan oil"
Yes,3 to 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Colour or henna, No,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Pure black sesame oil"
Yes,More than 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,Less than 3 months, Occasionally, No, No, No, No, No, No,Rosemarry oil & shampoo
No,No,No,Yes, Powdery, Rarely or never,Yes, Colour or henna, No,"Tea tree oil & shampoo, "
Yes,3 to 6 months, Occasionally, No, No, No,Yes, Keratin treatment, Yes,"Biotin gummies, Keratin smooth deep mask"
Yes,Less than 3 months, Rarely,Yes, Powdery, Frequently,Yes, Keratin treatment, No,"Rosemary oil & shampoo, Nizoral A-D Anti Dandruff Shampoo, Argan oil"
Yes,More than 6 months, Frequently,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
Yes,Less than 3 months, Frequently, No, No, No, No, No, No,Biotin gummies
Yes,Less than 3 months, Frequently,Yes, Powdery, Rarely or never,Yes, Keratin treatment, No,"Biotin gummies, Tea tree oil & shampoo, Argan oil"
Yes,More than 6 months, Rarely,Yes, Powdery, Rarely or never,Yes, Colour or henna, Yes,"Biotin gummies, Tea tree oil & shampoo, Pro-V Colour Shampoo"
Yes,More than 6 months, Rarely,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, Tea tree oil & shampoo, Keratin smooth deep mask"
Yes,Less than 3 months, Rarely,Yes, Flaky, Rarely or never,Yes, Colour or henna, No,"Rosemarry oil & shampoo,  T/Gel Therapeutic Shampoo, Pure black sesame oil"
No,No,No,Yes, Flaky, Frequently,No,No,No,Ketoconzole anti dandruff shampoo
Yes,More than 6 months, Occasionally, No, No, No,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Keratin smooth deep mask"
Yes,Less than 3 months, Occasionally,Yes, Flaky, Frequently,Yes, Keratin treatment, Yes,"Rosemarry oil & shampoo,  Ketoconzole anti dandruff shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Frequently,Yes, Flaky, Rarely or never,No,No,No,"Biotin gummies & hair growth serum, T/Gel Therapeutic Shampoo"
Yes,More than 6 months, Rarely,Yes, Flaky, Rarely or never,Yes, Keratin treatment, No,"Biotin gummies, T/Gel Therapeutic Shampoo, Argan oil"
Yes,Less than 3 months, Rarely, No, No, No, No, No, No,Rosemarry oil & shampoo
No,No,No,Yes, Flaky, Frequently,No,No,No,Ketoconzole anti dandruff shampoo
No,No,No,Yes, Powdery, Rarely or never,No,No,No,Tea tree oil & shampoo
Yes,Less than 3 months, Frequently, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Rarely,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies, Tea tree oil & shampoo, Keratin smooth deep mask"
Yes,3 to 6 months, Occasionally,Yes, Flaky, Rarely or never,Yes, Colour or henna, No,"Biotin gummies, T/Gel Therapeutic Shampoo, Pure black sesame oil"
Yes,3 to 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
No,No,No,Yes, Flaky, Frequently,No,No,No,Ketoconzole anti dandruff shampoo
Yes,Less than 3 months, Occasionally, No, No, No,Yes, Keratin treatment, Yes,"Rosemarry oil & shampoo, "
Yes,3 to 6 months, Occasionally, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,More than 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Keratin treatment, No,"Biotin gummies & hair growth serum, Nizoral A-D Anti Dandruff Shampoo, Argan oil"
Yes,Less than 3 months, Occasionally, No, No, No,Yes, Keratin treatment, Yes,"Rosemarry oil & shampoo, "
Yes,3 to 6 months, Occasionally,Yes, Powdery, Frequently,Yes, Colour or henna, Yes,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
No,No,No,Yes, Powdery, Rarely or never,Yes, Keratin treatment, No,"Tea tree oil & shampoo, "
No,No,No,Yes, Powdery, Rarely or never,No,No,No,Tea tree oil & shampoo
Yes,Less than 3 months, Rarely, No, No, No, No, No, No,Rosemarry oil & shampoo
Yes,3 to 6 months, Frequently,Yes, Flaky, Frequently,No,No,No,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo"
Yes,3 to 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,More than 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,3 to 6 months, Frequently,Yes, Flaky, Frequently,No,No,No,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo"
Yes,Less than 3 months, Occasionally,Yes, Flaky, Frequently,Yes, Colour or henna, No,"Rosemarry oil & shampoo,  Ketoconzole anti dandruff shampoo, Pure black sesame oil"
Yes,More than 6 months, Rarely,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Biotin gummies, Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Rarely, No, No, No,Yes, Keratin treatment, No,"Biotin gummies, Argan oil"
Yes,More than 6 months, Occasionally,Yes, Powdery, Rarely or never,Yes, Keratin treatment, Yes,"Biotin gummies & hair growth serum, Tea tree oil & shampoo, Keratin smooth deep mask"
Yes,More than 6 months, Rarely,Yes, Powdery, Frequently,Yes, Colour or henna, No,"Biotin gummies, Nizoral A-D Anti Dandruff Shampoo, Pure black sesame oil"
No,No,No,Yes, Flaky, Rarely or never,No,No,No,T/Gel Therapeutic Shampoo
Yes,Less than 3 months, Occasionally, No, No, No,Yes, Colour or henna, No,"Rosemarry oil & shampoo, "
Yes,Less than 3 months, Rarely, No, No, No, No, No, No,Rosemarry oil & shampoo
No,No,No,Yes, Powdery, Rarely or never,No,No,No,Tea tree oil & shampoo
Yes,3 to 6 months, Frequently,Yes, Flaky, Frequently,Yes, Colour or henna, Yes,"Biotin gummies & hair growth serum, Ketoconzole anti dandruff shampoo, Pro-V Colour Shampoo"
Yes,3 to 6 months, Frequently, No, No, No, No, No, No,Biotin gummies & hair growth serum
Yes,More than 6 months, Frequently,Yes, Powdery, Rarely or never,No,No,No,"Biotin gummies & hair growth serum, Tea tree oil & shampoo"
Yes,3 to 6 months, Rarely, No, No, No, No, No, No,Biotin gummies
Yes,More than 6 months, Frequently,Yes, Powdery, Rarely or never,Yes, Keratin treatment, No,"Biotin gummies & hair growth serum, Tea tree oil & shampoo, Argan oil"
No,No,No,Yes, Flaky, Rarely or never,No,No,No,T/Gel Therapeutic Shampoo
No,No,No,Yes, Flaky, Rarely or never,Yes, Keratin treatment, Yes,"T/Gel Therapeutic Shampoo, Keratin smooth deep mask"
